EntityName,State,IsUserLocalizedLabel,LocalizedLabelLanguageCode,LocalizedLabel
account,0,False,1033,Active
account,1,False,1033,Inactive
lead,0,False,1033,Open
lead,1,False,1033,Qualified
lead,2,False,1033,Disqualified
opportunity,0,False,1033,Open
opportunity,1,False,1033,Won
opportunity,2,False,1033,Lost
quote,0,False,1033,Draft
quote,1,False,1033,Active
quote,2,False,1033,Won
quote,3,False,1033,Closed
salesorder,0,False,1033,Active
salesorder,1,False,1033,Submitted
salesorder,2,False,1033,Canceled
salesorder,3,False,1033,Fulfilled
salesorder,4,False,1033,Invoiced
invoice,0,False,1033,Active
invoice,1,False,1033,Closed
invoice,2,False,1033,Paid
invoice,3,False,1033,Canceled
campaign,0,False,1033,Active
campaign,1,False,1033,Inactive
campaignresponse,0,False,1033,Open
campaignresponse,1,False,1033,Closed
campaignresponse,2,False,1033,Canceled
activitypointer,0,False,1033,Open
activitypointer,1,False,1033,Completed
activitypointer,2,False,1033,Canceled
activitypointer,3,False,1033,Scheduled
product,0,False,1033,Active
product,1,False,1033,Retired
